relative_path,quotation_number,qn_confidence,boq_status
2512W279\Q2512W279 TECHNICAL OFFER FOR GAS ANALYSER SYSTEM FOR TOP GAS.txt,Q2512W279,HIGH,FOUND
2512W283\2512W283 OFFER FOR H2 TraceO2  GAS ANALYSER SYSTEM FOR THERMOVISION.txt,2512W283,HIGH,FOUND
2512W283\2512W283R2 OFFER FOR H2 TraceO2  GAS ANALYSER SYSTEM FOR THERMOVISION-TC OFFER.txt,Q2512W283r2,HIGH,FOUND
2512W285\2425W043R4 TECHNICAL OFFER FOR GAS ANALYSER SYSTEM FOR ADITYA BIRLA CARBON INDIA.txt,2425W043R4,HIGH,FOUND
2526G001\OFFER#Q2501G001_AARTI_INDUSTRIES_LTD_TECHNICAL.txt,Q2501G001,HIGH,FOUND
2526G002\2526G002 Matrix Gas H2 Analyser System.txt,2526G002,HIGH,FOUND
2526G003\2526G003R1 OFFER FOR TDLS BASED NH3 GAS ANALYSER SYSTEM.txt,2526G003R1,HIGH,FOUND
2526G003\2526G004 Adani Green Hydrogen H2 & O2 System.txt,2526G002,HIGH,FOUND
2526G005\2526G005 Adwait infra green Hyd H2 & O2.txt,2526G006,HIGH,FOUND
2526G006\OFFER TECHNO-COMMERCIAL 2526G017R2 Birla Copper SAP1 Process Analyser Systems.txt,Commercial,HIGH,FOUND
2526G007\2526G007R1 Perfect Day Bio Sci_CO2 & O2 System.txt,2526G007R1,HIGH,FOUND
2526G008\2526G008 GFL Jolva CEMS System.txt,2526G008,HIGH,FOUND
2526G009\2526G009 INOX Por CO2 PPM Analyser.txt,2526G009,HIGH,FOUND
2526G010\2526G010 Technoquest - Sterling Green Hydrogen.txt,2526G010,HIGH,FOUND
2526G012\2526G012 OFFER FOR H2 GAS ANALYSER SYSTEM FOR ADANI MUNDRA POWER PLANT.txt,2526G012,HIGH,FOUND
2526G013\2526G013R1 OFFER FOR CEMS GAS ANALYSER SYSTEM FOR ATUL.txt,2526G013R1,HIGH,FOUND
2526G014\2526G014 Adani H2 Purity System Unit 6.txt,2526G014,HIGH,FOUND
2526W001\Analyzer quotation-Adage.txt,Q2407H033R1,HIGH,FOUND
2526W005\TEC-2526W005R1 - TKIL-TECHNICAL OFFER FOR CEMS GAS ANALYSER SYSTEM.txt,2526W005R1,HIGH,FOUND
2526W006\TEC-2526W006 - THERMAX-TECHNICAL OFFER FOR CEMS GAS ANALYSER SYSTEM.txt,2526W006,HIGH,FOUND
2526W008\2526W008 - TKIL-TECHNICAL OFFER FOR GREEN HYRODGEN GAS ANALYSER SYSTEM.txt,2526W008,HIGH,FOUND
2526W009\2526W009 OFFER FOR SPM ANALYSER SYSTEM FOR UTCL VIKRAM.txt,2526W009,HIGH,FOUND
2526W010\PRICE-2526W010R1 - FORBES MARSHALL-TECHNICAL OFFER FOR CEMS GAS ANALYSER SYSTEM .txt,2526W010R1,HIGH,FOUND
2526W011\TECHNO-2526W011- ADAGE OFFER_UTCL HO- MALKAPUR CEMENT- CO & O2 SYSTEM.txt,2526W011,HIGH,FOUND
2526W012\Offer#2526W012-NAVI Mumbai Air port _AAQMS_Budgetary offer.txt,2526W012,HIGH,FOUND
2526W013\PRICE-2526W013R1- ADAGE OFFER_UTCL HO- YERAGUNTAL CEMENT- CO & O2 SYSTEM .txt,2526W013R1,HIGH,FOUND
2526W014\PRICE-Offer#2526W014_TKIL_AAQMS_TECHNO_COMMERCIAL.txt,2526W014,HIGH,FOUND
2526W018\2526W018R1  - ADAGE OFFER_TKIL-TORORO CEMENT.txt,2526W018R1,HIGH,FOUND
2526W019\2526W019 OFFER FOR CO O2 GAS ANALYSER SYSTEM FOR BEKAERT.txt,2526W019,HIGH,FOUND
2526W020\2526W0120 OFFER FOR CO  H2 TraceO2 Dew Point GAS ANALYSER SYSTEM FOR THERMOVISION.txt,2526W0120,HIGH,FOUND
2526W021\2526W021 -ADAGE OFFER- UTCL AWARPUR- GAS ANALYZER SYSTEM.txt,2526W021,HIGH,FOUND
2526W022\2526W022 OFFER FOR VOC GAS ANALYSER SYSTEM.txt,2526W022,HIGH,FOUND
2526W026\Offer#2526W026_Bekaert Industries _CV  Analyser_Budgetary offer.txt,2526W026,HIGH,FOUND
2526W040\PRICE-2526W040- ADAGE OFFER_THERMAX- VERDHAMAN- CO SYSSTEM.txt,2526W040,HIGH,FOUND
2526W046\TECHNO-2526W046R1 - JSW DOLVI-COKE OEVN-TECHNICAL OFFER FOR CEMS GAS ANALYSER SYSTEM.txt,22526W046R1,HIGH,FOUND
25AKAI001\AKAI Sales offer #25AKAI001 R1 dtd 18-02-2025.txt,25AKAI001,HIGH,NOT_FOUND
2601G001\2601G001 Welspun Anjar CEMS.txt,2601G001,HIGH,FOUND
2601G002\2425G031R4 Birla Copper SO2 Analyser System.txt,2425G031R3,HIGH,FOUND
2601W004\2601W004 Offer for Sanghi Cement - Adani CEMS System - Technical.txt,2601W004,HIGH,FOUND
2601W006\2601W006 JSW CEMENT DOLVI FOR CAAQMS_OFFER.txt,2601W006,HIGH,FOUND
2601W007\2601W007 HINNDALCO INDUSTRIES LIMITED FOR CAAQMS_OFFER.txt,2601W007,HIGH,FOUND
2601W009\Q2601W009 OFFER FOR O2 GAS ANALYSER SYSTEM FOR THERMAX BWES.txt,Q2601W009,HIGH,FOUND
2601W011\2601W011_THERMAX_Petronet_PDH.txt,2601W011,HIGH,FOUND
2601W011\2601W011A_R1 OFFER FOR CEMS ANALYSER SYSTEM FOR THERMAX LNG PETRONET PROJECT.txt,Q2601W011A_R1,HIGH,FOUND
2601W012\OFFER#2601W012_EVONITH_O2_TECHNO_COMMERCIAL.txt,2601W012,HIGH,FOUND
2602G004\Q2512G071R1_TECHNICAL_OFFER_FOR_CO_ANALYSER_SYSTEM.txt,Q2512G071R1,HIGH,FOUND
2602G006\OFFER 2602G006R1 CEMS for ADANI POWER SEVERAL SITES TECHNICAL.txt,2602G006,HIGH,FOUND
"2602W013\TECHNO-2602W013- ADAGE OFFER_AMNS HAZIRA-FLOW,O2 - 02.02.2026.txt",2602W013,HIGH,FOUND
2602W015\Q202W015 OFFER FOR GAS ANALYSER SYSTEM FOR RCF CHEMBUR SUPHALA PLANT.txt,Q2602W015,HIGH,FOUND
2602W015\Q202W015R1_RCF Trombay_HF_NO.txt,Q202W015R1,HIGH,FOUND
2602W018\Q2602W018 COMMERCIAL OFFER FOR CEMS ANALYSER SYSTEM FOR DURR INIDA ADNOC INCINERATOR PROJECT.txt,Q2602W018,HIGH,FOUND
2602W019\2602W019- OFFER FOR O2 MEASURMENT-SMS 2-JSW DOLVI.txt,2602W019,HIGH,FOUND
2602W021\260W021- JSW DOLVI-COKE OEVN-TECHNICAL OFFER FOR WASTE GAS ANALYSER SYSTEM -.txt,260W021,HIGH,FOUND
2602W022\Q2602W022 OFFER FOR NH3 GAS ANALYSER SYSTEM FOR JSW JFE STEEL NASHIK.txt,Q2602W022,HIGH,FOUND
2602W023\Q2602W023 TECHNICAL OFFER FOR CEMS ANALYSER SYSTEM FOR AXENS ADNOC EDC FURNACE PROJECT.txt,Q2602W023,HIGH,FOUND
2602W025\TECHNO-2602W025 - Innomotics India -TECHNICAL OFFER FOR CEMS GAS ANALYSER SYSTEM.txt,2602W025,HIGH,FOUND
2603G008\OFFER NO#2603G008 Perfect Day Bio Sci_CO2 & O2 System.txt,2526G008,HIGH,FOUND
2603W031\PRICE-2603W031- ADAGE OFFER_EVONITH-  O2 SYSTEM-PROCESS SYSTEM.txt,2603W031,HIGH,FOUND
2603W036\2603W036- ADAGE OFFER_AMNS HAZIRA UNIT- HCL SYSTEM.txt,2603W036,HIGH,FOUND
2603W037\Q2603W037 TECHNICAL OFFER FOR GAS ANALYSER SYSTEM FOR SHARP CONTROL.txt,Q2603W037,HIGH,FOUND
2603W038\Q2603W038 TECHNICAL OFFER FOR GAS ANALYSER SYSTEM FOR SHARP CONTROL.txt,Q2603W038,HIGH,FOUND
2603W039\Q2603W039 OFFER FOR GAS ANALYSER SYSTEM FOR UTCL NARMADA CEMENT WORKS.txt,Q2603W037,HIGH,FOUND
2604G010\2604G010R1 OFFER FOR CEMS GAS ANALYSER SYSTEM FOR ATUL ABMERNATH.txt,2604G010,HIGH,FOUND
2604W047\2604W047- ADAGE OFFER_AMNS HAZIRA UNIT- DUST FLOW SYSTEM.txt,2604W047,HIGH,FOUND
2604W048\2604W048 -ADAGE OFFER- UTCL MANIKGHAR- PHO-GAS ANALYZER SYSTEM.txt,2604W048,HIGH,FOUND
2604W050\TECH-2604W050-OFFER FOR GAS ANALYSER SYSTEM- EVONITH WARDHA.txt,2604W050,HIGH,FOUND
2604W052\PRICE-2604W052-OFFER FOR GAS ANALYSER SYSTEM- AICHELIN.txt,2604W052,HIGH,FOUND
2604W054\Q2604W054 TECHNICAL OFFER FOR GAS ANALYSER SYSTEM FOR SWARAJ BIOGEN RENEWABLES.txt,Q2604W054,HIGH,FOUND
2604W056\Q2604W056 TECHNICAL OFFER FOR GAS ANALYSER SYSTEM FOR SAARLOHA METALS.txt,Q2604W056,HIGH,FOUND
2604W063\Q2604W063 TECHNICAL OFFER FOR GAS ANALYSER SYSTEM FOR THYSSENKRUPP HCF PROJECT.txt,Q2604W063,HIGH,FOUND
2604W066\Q2604W066 TECHNCAL OFFER FOR SPM ANALYSER FOR THERMAX ENVIRO.txt,Q2604W066,HIGH,FOUND
2604W068\2604W068- JSW DOLVI-BF2-TECHNICAL OFFER FOR CEMS GAS ANALYSER SYSTEM -.txt,2604W068,HIGH,FOUND
2604W072\2604W072 -ADAGE OFFER- UTCL MAIHAR- CO-GAS ANALYZER SYSTEM.txt,2604W072,HIGH,FOUND
2604W075\2604W075 - Omsairam Steels -TECHNICAL OFFER FOR CEMS GAS ANALYSER SYSTEM.txt,2604W075,HIGH,FOUND
2604W076\Q2604W076 TECHNICAL OFFER FOR GAS ANALYSER SYSTEM FOR TNBI INDUSTRY.txt,Q2604W076,HIGH,FOUND
2604W078\PRICE-OFFER 2604W078_JSW DOLVI_CV SYSTEM-.doc.txt,2604W078,HIGH,FOUND
2605W085\2605W085- THERMAX LIMITED-TECHNICAL OFFER FOR GAS ANALYSER SYSTEM.txt,2605W085,HIGH,FOUND
2605W085\2605W085_THERMAX LIMITED-TECHNICAL OFFER FOR GAS ANALYSER SYSTEM.txt,2605W085,HIGH,FOUND
2605W092\2605W092-TECHNICAL OFFER FOR GAS ANALYSER SYSTEM FOR THERMAX POWER.txt,2605W092,HIGH,FOUND
2605W093\Q2605W093 TECHNICAL OFFER FOR GAS ANALYSER SYSTEM FOR ENPRO INDUSTRY.txt,Q2605W093,HIGH,FOUND
"2605W094\Q2605W094 TECHNICAL OFFER FOR SPM,FLOW ANALYSER FOR THERMAX ENVIRO.txt",Q2605W094,HIGH,FOUND
